"TABLE 5. Average Published Tuition and Fees at Public Institutions by State in Current Dollars and in 2018 Dollars, 2004-05 to 2018-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public Two-Year In-District Tuition and Fees,,,,,,,,,,,,,,,,,Public Four-Year In-State Tuition and Fees,,,,,,,,,,,,,,,,,,,
In 2018 Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,1-Year % Change,5-Year % Change,,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,1-Year % Change,5-Year % Change,,
New Hampshire,"$6,227","$6,686","$6,482","$6,786","$6,424","$6,895","$7,249","$7,500","$7,409","$7,265","$6,888","$6,876","$6,841","$7,042","$7,090",1%,-2%,,"$10,757","$11,071","$11,303","$11,733","$11,792","$12,960","$13,809","$15,061","$16,076","$15,806","$15,581","$16,008","$16,441","$16,554","$16,460",-1%,4%,,
New Jersey,"$3,728","$3,801","$3,948","$4,098","$4,067","$4,440","$4,534","$4,586","$4,576","$4,602","$4,697","$4,857","$4,944","$5,014","$5,040",1%,10%,,"$10,616","$11,093","$11,555","$12,067","$12,314","$13,028","$13,465","$13,419","$13,658","$13,725","$13,756","$14,051","$14,203","$14,269","$14,180",-1%,3%,,
New Mexico,"$1,384","$1,442","$1,365","$1,383","$1,313","$1,414","$1,532","$1,672","$1,752","$1,742","$1,750","$1,749","$1,796","$1,812","$1,840",2%,6%,,"$5,201","$5,477","$5,023","$5,139","$5,178","$5,601","$5,928","$6,063","$6,246","$6,430","$6,511","$6,764","$6,949","$7,124","$7,130",0%,11%,,
Nevada,"$2,116","$2,119","$2,099","$2,133","$2,201","$2,366","$2,593","$2,803","$2,970","$2,913","$2,856","$2,962","$3,047","$3,315","$3,400",3%,17%,,"$3,824","$3,894","$4,514","$4,776","$5,038","$5,316","$6,147","$6,741","$7,029","$6,890","$6,798","$7,034","$7,236","$7,546","$7,660",2%,11%,,
New York,"$4,354","$4,363","$4,285","$4,291","$4,185","$4,530","$4,579","$4,744","$4,898","$4,983","$5,131","$5,388","$5,439","$5,508","$5,490",0%,10%,,"$6,584","$6,456","$6,243","$6,141","$5,867","$6,717","$6,696","$6,920","$7,218","$7,472","$7,715","$8,073","$8,074","$8,164","$8,190",0%,10%,,
Ohio,"$4,259","$4,361","$4,254","$4,253","$4,028","$4,090","$4,314","$4,409","$4,629","$4,718","$4,793","$4,787","$4,525","$4,519","$4,720",4%,0%,,"$10,959","$10,756","$10,457","$10,238","$9,708","$9,953","$10,468","$10,539","$10,744","$10,725","$10,669","$10,776","$10,794","$10,769","$10,790",0%,1%,,
Oklahoma,"$2,802","$2,885","$2,856","$3,008","$3,085","$3,164","$3,274","$3,373","$3,479","$3,547","$3,698","$3,851","$4,146","$4,272","$4,380",3%,23%,,"$4,703","$4,898","$5,488","$6,041","$6,463","$6,344","$6,647","$6,772","$7,043","$7,102","$7,491","$7,866","$8,411","$8,740","$8,750",0%,23%,,
Oregon,"$3,809","$3,825","$3,914","$3,898","$3,822","$4,226","$4,329","$4,485","$4,644","$4,778","$4,822","$4,918","$5,011","$5,199","$5,310",2%,11%,,"$6,947","$7,003","$6,905","$7,194","$7,148","$8,081","$8,593","$8,917","$9,143","$9,278","$9,450","$9,896","$10,200","$10,624","$10,610",0%,14%,,
Pennsylvania,"$3,816","$3,936","$3,851","$3,913","$3,832","$4,035","$4,011","$4,380","$4,620","$4,801","$4,969","$5,203","$5,473","$5,487","$5,480",0%,14%,,"$10,976","$11,147","$11,208","$11,847","$11,861","$12,596","$13,098","$13,480","$13,614","$13,811","$13,893","$14,142","$14,603","$14,938","$14,770",-1%,7%,,
Puerto Rico,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"$1,562","$1,820","$1,760","$2,161","$2,140","$2,214","$2,946","$2,915","$3,015","$2,063","$2,208","$2,229","$2,278","$2,162","$3,590",66%,74%,,
Rhode Island,"$3,074","$3,186","$3,326","$3,443","$3,540","$3,951","$4,221","$4,100","$4,345","$4,261","$4,178","$4,505","$4,467","$4,694","$4,560",-3%,7%,,"$7,894","$8,304","$8,405","$8,736","$8,853","$9,950","$10,772","$11,170","$12,013","$11,754","$11,591","$12,033","$11,963","$12,601","$12,530",-1%,7%,,
South Carolina,"$3,763","$3,793","$3,870","$3,914","$3,833","$4,074","$4,215","$4,146","$4,673","$4,845","$4,910","$5,039","$5,220","$5,580","$5,640",1%,16%,,"$8,796","$9,524","$9,799","$10,127","$10,462","$11,140","$11,632","$11,552","$11,818","$12,046","$12,112","$12,477","$12,783","$12,972","$12,950",0%,8%,,
South Dakota,"$4,038","$4,122","$4,271","$4,351","$4,513","$5,048","$5,300","$5,514","$6,015","$5,978","$6,034","$6,481","$6,589","$6,753","$6,700",-1%,12%,,"$5,785","$5,924","$6,153","$6,464","$6,528","$7,058","$7,303","$7,577","$8,127","$8,246","$8,145","$8,506","$8,546","$8,689","$8,690",0%,5%,,
Tennessee,"$2,923","$3,082","$3,084","$3,184","$3,182","$3,477","$3,694","$3,962","$4,025","$4,060","$4,175","$4,391","$4,463","$4,447","$4,560",3%,12%,,"$5,729","$6,143","$6,158","$6,491","$6,514","$7,136","$7,539","$7,998","$8,443","$8,669","$9,441","$9,782","$9,987","$10,089","$9,950",-1%,15%,,
Texas,"$1,839","$1,895","$1,994","$1,995","$1,904","$2,043","$2,148","$2,276","$2,361","$2,378","$2,422","$2,454","$2,552","$2,636","$2,620",-1%,10%,,"$6,753","$6,945","$7,412","$7,803","$7,927","$8,575","$8,952","$8,983","$9,178","$9,192","$9,347","$9,737","$9,986","$10,171","$10,300",1%,12%,,
Utah,"$2,684","$2,779","$2,878","$2,957","$2,927","$3,171","$3,314","$3,365","$3,464","$3,573","$3,667","$3,765","$3,834","$3,861","$3,810",-1%,7%,,"$4,356","$4,621","$4,726","$4,911","$4,898","$5,351","$5,683","$5,912","$6,173","$6,380","$6,517","$6,719","$6,869","$6,980","$6,990",0%,10%,,
Virginia,"$2,769","$2,826","$2,937","$3,098","$3,277","$3,612","$4,144","$4,443","$4,611","$4,671","$4,823","$5,071","$5,207","$5,281","$5,260",0%,13%,,"$7,423","$7,768","$8,119","$8,478","$8,685","$9,287","$10,183","$10,636","$10,891","$11,183","$11,829","$12,479","$12,936","$13,198","$13,490",2%,21%,,
Vermont,"$6,280","$6,436","$6,477","$6,654","$6,679","$7,103","$7,225","$7,273","$7,469","$7,649","$7,743","$7,951","$8,105","$8,215","$8,190",0%,7%,,"$11,686","$11,927","$12,115","$12,685","$12,993","$14,061","$14,419","$14,607","$14,877","$15,065","$15,312","$15,832","$16,297","$16,503","$16,610",1%,10%,,
Washington,"$3,302","$3,396","$3,391","$3,483","$3,393","$3,690","$3,884","$4,254","$4,667","$4,645","$4,543","$4,405","$4,402","$4,437","$4,440",0%,-4%,,"$6,538","$6,773","$7,021","$7,242","$7,370","$8,567","$9,475","$10,590","$11,654","$11,663","$11,302","$10,862","$9,708","$9,770","$9,760",0%,-16%,,
Wisconsin,"$3,867","$4,039","$3,895","$3,956","$3,920","$4,104","$4,188","$4,271","$4,433","$4,508","$4,561","$4,716","$4,539","$4,592","$4,550",-1%,1%,,"$6,943","$7,256","$7,482","$7,759","$7,786","$8,389","$8,913","$9,143","$9,559","$9,430","$9,277","$9,302","$9,355","$9,183","$9,080",-1%,-4%,,
West Virginia,"$2,769","$2,711","$2,733","$2,837","$2,840","$3,080","$2,918","$3,020","$3,215","$3,537","$3,947","$4,044","$4,192","$4,303","$4,320",0%,22%,,"$4,831","$4,992","$5,159","$5,331","$5,393","$5,828","$6,041","$6,175","$6,473","$6,746","$7,073","$7,543","$7,845","$8,143","$8,290",2%,23%,,
Wyoming,"$2,243","$2,283","$2,266","$2,325","$2,312","$2,532","$2,570","$2,596","$2,684","$2,811","$2,863","$2,936","$3,141","$3,294","$3,240",-2%,15%,,"$4,315","$4,422","$4,353","$4,300","$4,148","$4,360","$4,539","$4,601","$4,706","$4,751","$4,914","$5,165","$5,294","$5,374","$5,400",0%,14%,,
